Student_ID,Name,Gender,Department,Age,CGPA,Attendance_Percentage,Internships,Projects_Completed,Aptitude_Test_Score,Communication_Skill_Score,Placement_Status,Salary_Package_LPA
S0001,Michael,Male,CIVIL,23,8.2,77,0,2,55,54,Not Placed,0
S0002,Diana,Male,IT,19,9.46,97,0,1,67,42,Not Placed,0
S0003,Douglas,Female,IT,21,7.53,95,0,6,52,85,Not Placed,0
S0004,Paul,Male,ECE,18,7.95,70,0,3,84,67,Placed,5.5
S0005,Kayla,Female,CSE,23,5.46,82,0,5,94,62,Not Placed,0
S0006,Brian,Female,MECH,19,7.3,84,0,3,45,75,Not Placed,0
S0007,Melissa,Male,EEE,20,8.52,74,0,1,89,58,Placed,10.7
S0008,Misty,Male,MECH,23,7.27,70,2,2,63,62,Placed,9.03
S0009,Jennifer,Female,CIVIL,23,5.86,75,5,4,50,69,Not Placed,0
S0010,Mary,Male,ECE,21,7.78,80,5,1,93,89,Placed,5.06
S0011,Travis,Male,CIVIL,21,6.34,96,1,3,96,85,Not Placed,0
S0012,Brianna,Male,CIVIL,22,6.98,89,5,2,49,56,Not Placed,0
S0013,Matthew,Male,IT,22,7.69,97,5,5,67,97,Placed,6.59
S0014,Erin,Female,MECH,18,7.47,67,0,2,49,80,Not Placed,0
S0015,Justin,Male,CIVIL,23,6.92,89,4,5,73,56,Not Placed,0
S0016,Joel,Male,ECE,21,5.57,77,4,3,89,81,Not Placed,0
S0017,Gabriel,Male,CIVIL,20,5.79,76,0,2,72,88,Not Placed,0
S0018,Ian,Male,MECH,24,9.21,98,4,3,52,49,Not Placed,0
S0019,Arthur,Male,ECE,24,9.61,98,0,1,60,71,Not Placed,0
S0020,Robert,Male,CSE,23,9.03,63,1,5,55,96,Not Placed,0
S0021,James,Female,MECH,19,7.43,94,0,2,89,48,Not Placed,0
S0022,Elizabeth,Male,CIVIL,20,6.33,87,4,5,53,99,Not Placed,0
S0023,Sally,Female,CSE,19,6.99,83,5,5,68,97,Not Placed,0
S0024,Jamie,Male,CSE,18,6.12,61,2,2,77,75,Not Placed,0
S0025,Sarah,Female,CSE,22,8.54,74,0,1,44,97,Not Placed,0
S0026,Robin,Female,IT,24,6.19,91,5,2,53,74,Not Placed,0
S0027,Luis,Female,ECE,21,7.36,72,3,6,46,46,Not Placed,0
S0028,David,Female,CIVIL,20,7.06,63,5,6,83,81,Placed,3.89
S0029,Heidi,Female,IT,21,9,75,0,5,52,52,Not Placed,0
S0030,Daniel,Female,MECH,18,5.92,75,3,1,95,99,Not Placed,0
S0031,Kevin,Male,EEE,21,5.25,60,4,2,45,99,Not Placed,0
S0032,Anthony,Female,ECE,24,7.41,63,3,1,50,64,Not Placed,0
S0033,James,Female,IT,19,8.93,87,2,5,84,86,Placed,8.96
S0034,Benjamin,Female,CSE,18,6.48,97,0,1,87,74,Not Placed,0
S0035,Sean,Male,IT,18,7.92,93,4,5,50,43,Not Placed,0
S0036,Monica,Male,MECH,22,7.98,75,5,5,65,47,Not Placed,0
S0037,Jeffrey,Female,ECE,19,5.2,86,0,5,82,77,Not Placed,0
S0038,John,Female,EEE,20,8.35,75,2,2,56,65,Not Placed,0
S0039,Jennifer,Male,MECH,19,9.65,60,0,5,69,79,Placed,11.96
S0040,Shawn,Female,ECE,19,7.53,82,1,2,96,44,Not Placed,0
S0041,Maxwell,Female,CIVIL,18,7.19,79,4,6,79,91,Placed,7.76
S0042,Jessica,Male,ECE,20,9.69,76,1,1,47,96,Not Placed,0
S0043,Isabella,Female,MECH,21,8.02,81,5,6,53,83,Not Placed,0
S0044,Daniel,Male,CSE,20,6.26,65,0,3,80,67,Not Placed,0
S0045,Robert,Female,MECH,18,8.86,76,5,4,50,87,Not Placed,0
S0046,Karen,Male,EEE,19,5.56,69,5,3,74,42,Not Placed,0
S0047,Teresa,Male,CIVIL,18,5.21,62,2,2,97,62,Not Placed,0
S0048,Marcus,Male,IT,24,6.77,86,4,2,79,87,Not Placed,0
S0049,Daniel,Female,CIVIL,24,9.05,61,3,3,51,87,Not Placed,0
S0050,Malik,Male,EEE,24,8.68,77,1,6,50,90,Not Placed,0
S0051,Tracy,Female,ECE,24,5.19,74,3,4,52,92,Not Placed,0
S0052,Zachary,Female,ECE,20,8.98,74,1,2,41,82,Not Placed,0
S0053,Sarah,Female,CSE,18,9.32,82,2,4,81,72,Placed,9.12
S0054,Jonathan,Female,ECE,23,9.39,71,2,1,77,56,Placed,3.98
S0055,Carolyn,Male,ECE,18,8.93,98,3,4,72,47,Not Placed,0
S0056,Kyle,Male,ECE,21,8.54,93,0,5,99,91,Placed,9.18
S0057,Courtney,Male,CIVIL,20,5.35,81,5,6,79,60,Not Placed,0
S0058,Jason,Female,MECH,19,7.54,86,5,6,60,65,Not Placed,0
S0059,Charles,Female,EEE,22,5.96,84,5,2,83,87,Not Placed,0
S0060,Christopher,Female,EEE,21,9.17,78,2,5,53,67,Not Placed,0
S0061,Kimberly,Male,ECE,22,7.21,92,1,6,70,90,Placed,4.53
S0062,Melissa,Female,IT,24,8.32,81,4,2,45,92,Not Placed,0
